17:57:21, уставка 50.0-57.0, текущая темп. 49.5, охл. ВЫКЛ., нагр. ВКЛ.
17:57:22, уставка 50.0-57.0, текущая темп. 49.5, охл. ВЫКЛ., нагр. ВКЛ.
17:57:23, уставка 50.0-57.0, текущая темп. 49.1, охл. ВЫКЛ., нагр. ВКЛ.
17:57:24, уставка 50.0-57.0, текущая темп. 49.1, охл. ВЫКЛ., нагр. ВКЛ.
17:57:25, уставка 50.0-57.0, текущая темп. 49.1, охл. ВЫКЛ., нагр. ВКЛ.
17:57:26, уставка 50.0-57.0, текущая темп. 49.4, охл. ВЫКЛ., нагр. ВКЛ.
17:57:27, уставка 50.0-57.0, текущая темп. 49.4, охл. ВЫКЛ., нагр. ВКЛ.
17:57:28, уставка 50.0-57.0, текущая темп. 49.4, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:29, уставка 50.0-57.0, текущая темп. 50.1, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:30, уставка 50.0-57.0, текущая темп. 50.1, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:31, уставка 50.0-57.0, текущая темп. 51.0, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:32, уставка 50.0-57.0, текущая темп. 51.0, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:33, уставка 50.0-57.0, текущая темп. 51.0, охл. ВЫКЛ., нагр. ВЫКЛ.





20:41, уставка 50.0-57.0, текущая темп. 53.0, охл. ВЫКЛ., нагр. ВЫКЛ.
18:20:42, уставка 50.0-57.0, текущая темп. 53.0, охл. ВЫКЛ., нагр. ВЫКЛ.
18:20:43, уставка 50.0-57.0, текущая темп. 53.9, охл. ВКЛ., нагр. ВЫКЛ.
18:20:44, уставка 50.0-57.0, текущая темп. 53.9, охл. ВКЛ., нагр. ВЫКЛ.
18:20:45, уставка 50.0-57.0, текущая темп. 53.9, охл. ВКЛ., нагр. ВЫКЛ.
18:20:46, уставка 50.0-57.0, текущая темп. 54.6, охл. ВКЛ., нагр. ВЫКЛ.
18:20:47, уставка 50.0-57.0, текущая темп. 54.8, охл. ВКЛ., нагр. ВЫКЛ.
18:20:48, уставка 50.0-57.0, текущая темп. 54.8, охл. ВЫКЛ., нагр. ВЫКЛ.
18:20:49, уставка 50.0-57.0, текущая темп. 54.8, охл. ВЫКЛ., нагр. ВЫКЛ.
18:20:50, уставка 50.0-57.0, текущая темп. 54.8, охл. ВЫКЛ., нагр. ВЫКЛ.
18:20:51, уставка 50.0-57.0, текущая темп. 54.1, охл. ВЫКЛ., нагр. ВЫКЛ.
18:20:52, уставка 50.0-57.0, текущая темп. 54.1, охл. ВЫКЛ., нагр. ВЫКЛ.
18:20:53, уставка 50.0-57.0, текущая темп. 53.2, охл. ВЫКЛ., нагр. ВЫКЛ.
18:20:54, уставка 50.0-57.0, текущая темп. 53.2, охл. ВЫКЛ., нагр. ВЫКЛ.
18:20:55, уставка 50.0-57.0, текущая темп. 53.2, охл. ВЫКЛ., нагр. ВЫКЛ.
18:20:56, уставка 50.0-57.0, текущая темп. 52.1, охл. ВЫКЛ., нагр. ВЫКЛ.
18:20:57, уставка 50.0-57.0, текущая темп. 52.1, охл. ВЫКЛ., нагр. ВКЛ.
18:20:58, уставка 50.0-57.0, текущая темп. 52.1, охл. ВЫКЛ., нагр. ВКЛ.
18:20:59, уставка 50.0-57.0, текущая темп. 50.8, охл. ВЫКЛ., нагр. ВКЛ.
18:21:00, уставка 50.0-57.0, текущая темп. 50.8, охл. ВЫКЛ., нагр. ВКЛ.
18:21:01, уставка 50.0-57.0, текущая темп. 50.8, охл. ВЫКЛ., нагр. ВКЛ.
18:21:02, уставка 50.0-57.0, текущая темп. 49.5, охл. ВЫКЛ., нагр. ВЫКЛ.
18:21:03, уставка 50.0-57.0, текущая темп. 49.5, охл. ВЫКЛ., нагр. ВЫКЛ.
18:21:04, уставка 50.0-57.0, текущая темп. 48.8, охл. ВЫКЛ., нагр. ВЫКЛ.
18:21:05, уставка 50.0-57.0, текущая темп. 48.8, охл. ВЫКЛ., нагр. ВЫКЛ.
18:21:06, уставка 50.0-57.0, текущая темп. 48.8, охл. ВЫКЛ., нагр. ВЫКЛ.
18:21:07, уставка 50.0-57.0, текущая темп. 48.3, охл. ВЫКЛ., нагр. ВКЛ.
18:21:08, уставка 50.0-57.0, текущая темп. 48.3, охл. ВЫКЛ., нагр. ВКЛ.


19:01:30, уставка 50.0-57.0, текущая темп. 51.9, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:31, уставка 50.0-57.0, текущая темп. 52.7, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:32, уставка 50.0-57.0, текущая темп. 52.7, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:33, уставка 50.0-57.0, текущая темп. 52.7, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:34, уставка 50.0-57.0, текущая темп. 53.5, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:35, уставка 50.0-57.0, текущая темп. 53.5, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:36, уставка 50.0-57.0, текущая темп. 53.5, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:37, уставка 50.0-57.0, текущая темп. 54.1, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:38, уставка 50.0-57.0, текущая темп. 54.1, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:39, уставка 50.0-57.0, текущая темп. 54.1, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:40, уставка 50.0-57.0, текущая темп. 54.6, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:41, уставка 50.0-57.0, текущая темп. 54.6, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:42, уставка 50.0-57.0, текущая темп. 55.3, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:43, уставка 50.0-57.0, текущая темп. 55.3, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:44, уставка 50.0-57.0, текущая темп. 55.3, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:45, уставка 50.0-57.0, текущая темп. 55.8, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:46, уставка 50.0-57.0, текущая темп. 55.8, охл. ВКЛ., нагр. ВЫКЛ.
19:01:47, уставка 50.0-57.0, текущая темп. 55.8, охл. ВКЛ., нагр. ВЫКЛ.
